Sample,Stiff_slope,Stiff_intercept,Stiff_rvalue,Stiff_rsquared,Stiff_stderr,Stiff_intercept_stderr
L13,10.561566444979697,-5.285157322322338,0.9994296491258129,0.9988596235517455,0.02555541397587252,0.06668888063916788
L14,10.577926808992613,-5.84288433879604,0.9996163493490404,0.9992328458859028,0.01971570809128068,0.05510904850714405
L15,9.383391791042921,-2.4837526831044023,0.9989828268153157,0.997966688271919,0.03788338729347208,0.0818430329158872
L16,10.180099909309108,-5.234505384259002,0.9991761342243912,0.9983529472035987,0.03598958036577416,0.08947421557948132
L17,9.993381740338695,-4.208665278740096,0.9986845925536155,0.997370915403981,0.04161641005554272,0.10235438932019143
L18,10.183761086115133,-1.7401626937528505,0.9986636830523867,0.9973291518477579,0.03864177539995544,0.08387386935998713
L19,9.016408379765254,-1.5694549912796347,0.9995174554837553,0.9990351438167206,0.01880606773152329,0.0377811885987694
L20,9.663683959011331,-1.58966907956912,0.9990548820574963,0.9981106573629178,0.0456036151319176,0.09441554387133905
L21,9.270299172113393,0.0013797683535585747,0.9992456602366269,0.9984918895017323,0.02670560165967662,0.04896196330100083
L22,10.384547177161963,-4.059725942040512,0.9988301734729477,0.9976617154399987,0.04392471410232268,0.10474552931236854
L23,9.852762394725428,-1.540209170032437,0.9988565378677048,0.9977143832410575,0.04436263941972405,0.09471757935440252
L24,10.130834705582602,-1.9143235812599286,0.999204874355544,0.9984103809358784,0.03334099446511937,0.07433077482622243
L25,11.047837940709226,-4.63890798065632,0.9987108647363852,0.9974233913424982,0.04332186159242912,0.125607265823229
L26,10.623520961955888,-2.7605054728995952,0.9994433032371722,0.9988869163856302,0.041506181567536736,0.08883952802461986
L27,8.927865899141269,0.46384623922718404,0.9966884120168898,0.9933877906487496,0.0948277707839634,0.15946912351623987
L28,10.973236207249204,-3.809269458872709,0.9990138385411172,0.9980286495966575,0.047368780496715154,0.1097162234393121
L29,9.83158241272178,-1.536725126125905,0.9990374291726958,0.9980757848879891,0.03635456217874139,0.07681272552323173
L30,10.853435783924422,-4.420612155022312,0.9996966123149762,0.9993933166740399,0.021009830217100962,0.05503064290393962
L31,9.155298430731593,-0.06637787789926719,0.9994451233377749,0.99889055456366,0.0223123710149133,0.036978430306219376
L32,9.784107263361566,-1.391045665796785,0.9989837406417242,0.9979685140665318,0.03365933037436596,0.06998937174708549
